src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.43.233,192.168.43.255,137,137,2048,2022-09-12 11:01:55,614397.0,305.9910774303911,3.2552242279828842,3.2552242279828842,0.0,2,0,188,0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,94,94,94.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,94.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0,2,0,188,0
192.168.43.41,39.156.81.172,46484,5222,2048,2022-09-12 11:01:57,16583115.0,560.6304967432235,1.9899759484270598,1.0854414264147598,0.9045345220122999,18,15,4001,5296,425.0,56.0,222.27777777777777,150.8950354663634,1080.0,56.0,353.06666666666666,332.8065437390851,1080,56,281.72727272727275,258.8556720513731,67006.25895316804,360,300,20,10,518222.34375,4715134.0,91.0,1332334.514704256,16583115.0,4715134.0,1226.0,975477.3529411765,1709177.42590608,16528764.0,4803429.0,240.0,1180626.0,1842928.9344440666,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333334,281.72727272727275,65535,21541,4627441.0,1503.0,1286255.3333333333,1763436.2159617038,4714532.0,22682.0,1800225.3333333333,1993904.9058737871,1138.0,4.0,0.0,0.0,23593.315918231954,0.0,222.27777777777777,353.06666666666666,0,18,15,4001,5296
192.168.43.41,192.168.43.8,37947,8888,2048,2022-09-12 11:01:58,484675.0,6286.686955176148,30.948573786558,18.5691442719348,12.379429514623201,9,6,1445,1602,410.0,68.0,160.55555555555554,124.07444997179098,1140.0,68.0,267.0,391.31998841527803,1140,68,203.13333333333333,270.5707219112141,73208.51555555555,180,120,20,4,34619.642857142855,243611.0,117.0,74311.1571911428,484675.0,243611.0,595.0,60584.375,91362.32831142371,456988.0,427659.0,248.0,91397.6,168188.54664286747,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,203.13333333333333,65535,257,0.0,0.0,0.0,0.0,243460.0,27570.0,135515.0,107945.0,0.0,0.0,0.0,0.0,0.0,0.0,160.55555555555554,267.0,0,9,6,1445,1602
192.168.43.41,192.168.43.8,37949,8888,2048,2022-09-12 11:01:58,384723.0,12572.682163530644,41.588363575871476,23.393454511427702,18.19490906444377,9,7,2739,2098,617.0,68.0,304.3333333333333,232.84758963751375,1162.0,76.0,299.7142857142857,363.3965619326768,1162,68,302.3125,297.11586939063017,88277.83984375,180,140,20,5,25648.2,202016.0,161.0,50608.03927598855,384723.0,202016.0,326.0,48090.375,64654.901900276476,378336.0,219980.0,161.0,63056.0,74198.42080754369,0,0,0,0,1,0,0,0,0,0,0,0.7777777777777778,302.3125,65535,254,195727.0,5546.0,79368.33333333333,83263.46910193503,190556.0,5761.0,60980.6,67754.64793089844,0.0,0.0,0.0,0.0,0.0,0.0,304.3333333333333,299.7142857142857,0,9,7,2739,2098
192.168.43.41,192.168.43.8,37951,8888,2048,2022-09-12 11:01:58,527867.0,8619.595466282226,26.521832203945312,15.15533268796875,11.366499515976562,8,6,2108,2442,585.0,68.0,263.5,214.46794632298784,1154.0,76.0,407.0,377.2059561212327,1154,68,325.0,303.81855487398116,92305.71428571429,160,120,20,4,40605.153846153844,213366.0,87.0,74125.55307651612,527867.0,213366.0,652.0,75409.57142857143,89408.63148625472,520856.0,411922.0,179.0,104171.2,157260.1555835425,0,0,0,0,1,0,0,0,0,0,0,0.75,325.0,65535,254,212161.0,6012.0,109086.5,103074.5,213279.0,6099.0,102141.66666666667,85251.68550174763,0.0,0.0,0.0,0.0,0.0,0.0,263.5,407.0,0,8,6,2108,2442
192.168.43.41,123.125.102.56,46948,443,2048,2022-09-12 11:01:58,1760323.0,261.3156789975476,3.4084653782288816,3.4084653782288816,0.0,6,0,460,0,87.0,56.0,76.66666666666667,14.613540144521982,0.0,0.0,0.0,0.0,87,56,76.66666666666667,14.613540144521982,213.55555555555554,120,0,20,4,352064.6,960332.0,357.0,345506.2460162479,1760323.0,960332.0,357.0,352064.6,345506.24601624784,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,76.66666666666667,65535,0,0.0,0.0,0.0,0.0,480270.0,79242.0,239993.75,149927.5784376827,124.0,4.0,0.0,0.0,70.44161781673023,0.0,76.66666666666667,0.0,0,6,0,460,0
192.168.43.41,123.125.102.56,47054,443,2048,2022-09-12 11:01:58,1854019.0,3012.3747383387117,12.405482360213137,7.011794377511773,5.393687982701364,13,10,3979,1606,1442.0,56.0,306.0769230769231,448.7317961233314,403.0,56.0,160.6,123.39627222894538,1442,56,242.82608695652175,354.44808930945425,125633.44801512283,260,200,20,5,84273.59090909091,1671744.0,96.0,346647.3994405239,1854019.0,1671744.0,341.0,154501.58333333334,457671.7174770687,1825073.0,1708574.0,131.0,202785.88888888888,532545.3601582674,0,0,0,0,1,0,0,0,0,0,0,0.7692307692307693,242.82608695652175,65535,37422,1671609.0,8087.0,298813.5,613987.6928833753,1671581.0,7485.0,257538.0,577357.3738805851,0.0,0.0,0.0,0.0,0.0,0.0,306.0769230769231,160.6,0,13,10,3979,1606
192.168.43.41,192.168.43.8,37955,8888,2048,2022-09-12 11:01:59,359450.0,221769.3698706357,269.8567255529281,122.40923633328697,147.4474892196411,44,53,4452,75263,585.0,68.0,101.18181818181819,100.6317031030554,1516.0,76.0,1420.0566037735848,331.48820606211166,1516,68,821.8041237113403,704.0934602790578,495747.6008077372,880,1060,20,4,3744.2708333333335,190978.0,0.0,20485.32116616227,359450.0,196734.0,28.0,8359.302325581395,30862.345498240815,345798.0,194227.0,23.0,6649.961538461538,27980.277964310135,0,0,0,0,1,0,0,0,0,0,0,1.2045454545454546,821.8041237113403,65535,255,185222.0,5784.0,36364.666666666664,55147.92223546495,187934.0,5543.0,33457.4,53812.7336272745,0.0,0.0,70433.0,49.0,0.0,1179327.8971250607,101.18181818181819,1420.0566037735848,0,44,53,4452,75263
192.168.43.41,192.168.43.8,37957,8888,2048,2022-09-12 11:01:59,359305.0,212407.28628880758,250.48357245237335,108.54288139602845,141.9406910563449,39,51,4088,72231,585.0,68.0,104.82051282051282,106.32072229570588,1516.0,76.0,1416.2941176470588,337.36994845756595,1516,68,847.9888888888889,701.2432213091965,491742.05543209886,780,1020,20,4,4037.1348314606744,187990.0,13.0,20807.595014715833,359305.0,194290.0,45.0,9455.394736842105,32071.11350005884,345272.0,193357.0,26.0,6905.44,28191.804872451852,0,0,0,0,1,0,0,0,0,0,0,1.3076923076923077,847.9888888888889,65535,255,181690.0,6409.0,37851.125,56955.18625734952,182773.0,5067.0,31043.4,52941.461984346446,0.0,0.0,67537.0,47.0,0.0,1110495.4206882943,104.82051282051282,1416.2941176470588,0,39,51,4088,72231
192.168.43.41,192.168.43.8,37959,8888,2048,2022-09-12 11:01:59,366819.0,12256.726069260316,38.16596195944049,21.809121119680277,16.35684083976021,8,6,2020,2476,585.0,68.0,252.5,209.62943495606717,1156.0,76.0,412.6666666666667,416.52397556710014,1156,68,321.14285714285717,325.18826572197423,105747.40816326531,160,120,20,4,28216.846153846152,181549.0,170.0,47141.18649145867,366819.0,204520.0,3983.9999999999995,52402.71428571428,68148.46210132338,308657.0,203958.0,170.0,61731.4,74319.90204406892,0,0,0,0,1,0,0,0,0,0,0,0.75,321.14285714285717,65535,255,176220.0,23276.0,85769.0,65494.0409859299,159360.0,21969.0,58394.6,51658.24068084394,0.0,0.0,0.0,0.0,0.0,0.0,252.5,412.6666666666667,0,8,6,2020,2476
