src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.232.240,192.168.232.111,49327,8888,2048,2022-11-04 15:43:44,539944.0,6326.582015912762,35.18883439764124,18.520439156653282,16.668395240987955,10,9,1199,2217,312.0,56.0,119.9,90.16922978488837,1516.0,56.0,246.33333333333334,450.51106781323614,1516,56,179.78947368421052,323.11535807825476,104403.53462603879,200,180,20,4,29996.88888888889,315986.0,47.0,71393.49906359268,539944.0,371137.0,425.0,59993.77777777778,112320.56080282776,518586.0,315986.0,48.0,64823.25,98105.16947739043,0,0,0,0,1,0,0,0,0,0,0,0.9,179.78947368421052,65535,254,315939.0,20484.0,102358.25,123705.12888998378,260930.0,5766.0,59374.857142857145,83048.60862415555,0.0,0.0,0.0,0.0,0.0,0.0,119.9,246.33333333333334,0,10,9,1199,2217
192.168.232.240,192.168.232.111,49329,8888,2048,2022-11-04 15:43:44,592714.0,7718.731124960774,32.0559325408207,15.18438909828349,16.87154344253721,9,10,1926,2649,589.0,56.0,214.0,208.08705443208672,1516.0,56.0,264.9,424.2535680462805,1516,56,240.78947368421052,340.42428309504544,115888.69252077564,180,200,20,4,32928.555555555555,282817.0,39.0,65359.830106727226,592714.0,329098.0,208.0,74089.25,105923.69821922523,589621.0,282817.0,50.0,65513.444444444445,80853.35439356464,0,0,0,0,1,0,0,0,0,0,0,1.1111111111111112,240.78947368421052,65535,251,282778.0,208.0,98099.75,110238.17965744672,236625.0,29701.0,75347.66666666667,72841.87511238908,0.0,0.0,0.0,0.0,0.0,0.0,214.0,264.9,0,9,10,1926,2649
192.168.232.240,192.168.232.111,49331,8888,2048,2022-11-04 15:43:44,582205.0,8519.335972724384,32.63455312132324,15.458472531153117,17.17608059017013,9,10,1883,3077,573.0,56.0,209.22222222222223,199.4212614195709,1516.0,56.0,307.7,430.1732325470751,1516,56,261.05263157894734,344.455859777679,118649.83933518006,180,200,20,4,32344.722222222223,282585.0,78.0,64872.991400124425,582205.0,335998.0,257.0,72775.625,107717.87544778432,578712.0,282585.0,138.0,64301.333333333336,80573.99353527304,0,0,0,0,1,0,0,0,0,0,0,1.1111111111111112,261.05263157894734,65535,251,282507.0,257.0,94224.25,111582.39470314079,229388.0,21933.0,70878.66666666667,71728.5625597564,0.0,0.0,0.0,0.0,0.0,0.0,209.22222222222223,307.7,0,9,10,1883,3077
192.168.232.240,192.168.232.111,49325,8888,2048,2022-11-04 15:43:45,2475808.0,1554.2400703123992,4.039085421809769,1.6156341687239077,2.4234512530858616,4,6,2750,1098,1463.0,56.0,687.5,639.6563530521681,309.0,56.0,183.0,103.32956982393762,1463,56,384.8,480.7859814928052,231155.16,80,120,20,2,275089.77777777775,1974243.0,81.0,604439.0687460707,2475808.0,1974243.0,172028.0,825269.3333333334,814987.7857122903,2424602.0,2154903.0,81.0,484920.4,837195.2563686921,0,0,0,0,1,0,0,0,0,0,0,1.5,384.8,189,256,0.0,0.0,0.0,0.0,1973814.0,49555.0,698592.3333333334,901766.1519685811,0.0,0.0,0.0,0.0,0.0,0.0,687.5,183.0,0,4,6,2750,1098
192.168.232.240,192.168.232.111,49333,8888,2048,2022-11-04 15:43:45,356819.0,17493.463072313974,53.24828554533251,25.222872100420663,28.025413444911845,9,10,3603,2639,2325.0,56.0,400.3333333333333,698.5818968930319,1516.0,56.0,263.9,424.13003902105305,2325,56,328.5263157894737,574.8768626429629,330483.40720221604,180,200,20,4,19823.277777777777,77455.0,52.0,24409.806831147816,356819.0,90751.0,953.0,44602.375,36785.930007060786,334316.0,89685.0,52.0,37146.22222222222,28638.373556307582,0,0,0,0,1,0,0,0,0,0,0,1.1111111111111112,328.5263157894737,65535,256,70888.0,17252.0,47338.25,19350.41144749899,65301.0,12078.0,41084.666666666664,19417.940413156306,0.0,0.0,0.0,0.0,0.0,0.0,400.3333333333333,263.9,0,9,10,3603,2639
192.168.232.240,192.168.232.111,49335,8888,2048,2022-11-04 15:43:45,272096.0,23539.48606374221,69.82829589556627,33.07656121368929,36.75173468187698,9,10,3775,2630,2448.0,56.0,419.44444444444446,734.797494568872,1516.0,56.0,263.0,423.5703011307568,2448,56,337.10526315789474,596.8953795958095,356284.0941828255,180,200,20,4,15116.444444444445,59473.0,76.0,21154.324530885515,272096.0,111768.0,1487.0,34012.0,40661.04453282036,267581.0,61165.0,158.0,29731.222222222223,22963.623106401123,0,0,0,0,1,0,0,0,0,0,0,1.1111111111111112,337.10526315789474,65535,256,59397.0,1487.0,29030.0,26825.40226166236,57979.0,8225.0,39123.75,19224.063896260333,0.0,0.0,0.0,0.0,0.0,0.0,419.44444444444446,263.0,0,9,10,3775,2630
192.168.232.240,192.168.232.111,49337,8888,2048,2022-11-04 15:43:46,447859.0,119115.6145126033,145.1349643526199,55.82114013562304,89.31382421699686,25,40,2540,50807,573.0,56.0,101.6,116.73799724168647,1516.0,56.0,1270.175,513.3132030008579,1516,56,820.723076923077,700.4289127207328,490600.66177514795,500,800,20,4,6997.796875,149079.0,13.0,22029.719644848305,447859.0,186333.0,32.0,18660.791666666668,42971.16387375295,394666.0,149543.0,21.0,10119.641025641025,27399.59978510558,0,0,0,0,1,0,0,0,0,0,0,1.6,820.723076923077,65535,252,146846.0,7226.0,43183.42857142857,45250.092002612524,148841.0,7208.0,41709.625,43107.055301126464,0.0,0.0,46825.0,33.0,0.0,1456816.6262211436,101.6,1270.175,0,25,40,2540,50807
192.168.232.240,192.168.232.111,49339,8888,2048,2022-11-04 15:43:46,438069.0,121777.6195074292,148.3784517964065,57.06863530631019,91.30981649009631,25,40,2540,50807,573.0,56.0,101.6,116.73799724168647,1516.0,56.0,1270.175,513.3132030008579,1516,56,820.723076923077,700.4289127207328,490600.66177514795,500,800,20,4,6844.828125,148832.0,13.0,21987.259120024122,438069.0,186357.0,77.0,18252.875,43066.73915594309,394155.0,149088.0,24.0,10106.538461538461,27401.21042792065,0,0,0,0,1,0,0,0,0,0,0,1.6,820.723076923077,65535,252,146679.0,9771.0,42391.0,45822.46715936876,148688.0,9743.0,41045.125,43478.50339086403,0.0,0.0,46825.0,33.0,0.0,1437275.5455968569,101.6,1270.175,0,25,40,2540,50807
192.168.232.240,192.168.232.111,49341,8888,2048,2022-11-04 15:43:46,456436.0,7394.245852649659,37.24509022075384,19.717988940399092,17.52710128035475,9,8,1242,2133,573.0,56.0,138.0,164.94376145960916,1516.0,56.0,266.625,474.2791734569419,1516,56,198.52941176470588,352.6750074780661,124379.66089965397,180,160,20,3,28527.25,138654.0,47.0,45102.797546964866,456381.0,204465.0,610.0,57047.625,82347.20205619845,452628.0,139473.0,83.0,64661.142857142855,52479.82464427523,0,0,0,0,1,0,0,0,0,0,0,0.8888888888888888,198.52941176470588,65535,253,138541.0,610.0,89312.66666666667,62848.534506029304,138044.0,19584.0,59572.2,42056.37296011153,0.0,0.0,0.0,0.0,0.0,0.0,138.0,266.625,0,9,8,1242,2133
192.168.232.240,220.181.106.151,37125,5222,2048,2022-11-04 15:43:48,26591285.0,377.00321740750775,1.3914333211050163,0.7145198135404137,0.6769135075646024,19,18,4295,5730,428.0,56.0,226.05263157894737,146.13385129077653,1416.0,56.0,318.3333333333333,355.1891514859841,1416,56,270.94594594594594,272.8888444082747,74468.32140248356,380,360,20,11,738646.8055555555,10072426.0,35.0,2092689.5281518153,26481222.0,10250415.0,78.0,1471179.0,2836030.3138022576,26436364.0,10348581.0,35.0,1555080.2352941176,2939903.5113666872,0,0,0,0,1,0,0,0,0,0,0,0.9473684210526315,270.94594594594594,213,64,10072195.0,7491.0,2265187.1818181816,3300757.5851623635,9894437.0,7529.0,1925163.2307692308,3071877.3748324094,0.0,0.0,0.0,0.0,0.0,0.0,226.05263157894737,318.3333333333333,0,19,18,4295,5730
