src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
106.11.43.194,172.20.62.132,443,42254,2048,2022-10-23 10:35:06,339.0,448377.58112094394,5899.705014749263,2949.8525073746314,2949.8525073746314,1,1,96,56,96.0,96.0,96.0,0.0,56.0,56.0,56.0,0.0,96,56,76.0,20.0,400.0,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,76.0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,56.0,0,1,1,96,56
172.20.62.132,119.39.205.81,47349,443,2048,2022-10-23 10:35:09,93167289.0,1078.9194477903077,1.8998084188110271,0.9338041380596575,0.9660042807513698,87,90,15992,84528,585.0,68.0,183.816091954023,193.6553122714016,1442.0,68.0,939.2,589.3977001048518,1442,68,567.909604519774,581.1044741763336,337682.4099077532,1740,1800,20,23,529359.5965909091,34253983.0,13.0,2949482.05204865,93167289.0,34253983.0,52.0,1083340.5697674418,4148628.284985209,93121414.0,34298635.0,32.0,1046308.0224719101,4094691.2465412905,0,0,0,0,1,0,0,0,0,0,0,1.0344827586206897,567.909604519774,65535,411,34209421.0,6375.0,2204315.048780488,5785134.373818789,34253893.0,6390.0,1744872.0384615385,5227731.16407969,0.0,0.0,9924.333333333334,7.666666666666667,0.0,2285483.994780072,183.816091954023,939.2,0,87,90,15992,84528
140.205.135.3,172.20.62.132,443,47937,2048,2022-10-23 10:35:09,307.0,837133.5504885993,13029.315960912052,6514.657980456026,6514.657980456026,2,2,145,112,87.0,58.0,72.5,14.5,56.0,56.0,56.0,0.0,87,56,64.25,13.160072188251856,173.1875,40,40,20,2,102.33333333333333,204.0,45.0,72.08482657412878,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,64.25,7300,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.5,56.0,0,2,2,145,112
172.20.62.132,139.196.135.155,45030,443,2048,2022-10-23 10:35:10,12813153.0,881.4380035889683,2.107209677430684,1.1706720430170467,0.9365376344136374,15,12,1996,9298,573.0,56.0,133.06666666666666,167.65896602594472,1442.0,58.0,774.8333333333334,609.7575793342429,1442,56,418.2962962962963,531.5615580403484,282557.6899862826,300,240,20,4,492813.57692307694,12502309.0,13.0,2401981.419919143,12813088.0,12502309.0,54.0,915220.5714285715,3213808.0998678124,12769531.0,12584523.0,54.0,1160866.4545454546,3612579.863467088,0,0,0,0,1,0,0,0,0,0,0,0.8,418.2962962962963,65535,5414,12502037.0,20773.0,2532250.6,4984903.387373585,12463314.0,23672.0,1814885.7142857143,4347217.756671361,0.0,0.0,7556.0,7.0,0.0,6881602.914389799,133.06666666666666,774.8333333333334,0,15,12,1996,9298
172.20.62.132,36.158.231.207,40479,443,2048,2022-10-23 10:35:10,468483.0,22263.3478696132,53.36372931355034,27.749139243046173,25.61459007050416,13,12,1775,8655,585.0,68.0,136.53846153846155,150.5071505506097,1442.0,68.0,721.25,591.1697619973471,1442,68,417.2,514.6509496736599,264865.6,260,240,20,3,19520.125,109040.0,44.0,32394.1195272029,468483.0,166987.0,90.0,39040.25,51326.48509480753,411035.0,111181.0,133.0,37366.818181818184,41368.5061584912,0,0,0,0,1,0,0,0,0,0,0,0.9230769230769231,417.2,65535,243,108989.0,33705.0,73066.75,30013.85577008559,107117.0,5361.0,38980.666666666664,33410.935618280564,0.0,0.0,3915.5,4.0,0.0,46304.67304087654,136.53846153846155,721.25,0,13,12,1775,8655
172.20.62.132,106.11.43.194,42326,443,2048,2022-10-23 10:35:10,134340.0,18192.645526276614,119.10078904272741,66.99419383653418,52.10659520619325,9,7,1294,1150,434.0,56.0,143.77777777777777,142.86728711778306,368.0,58.0,164.28571428571428,115.84930394477904,434,56,152.75,132.1228121862383,17456.4375,180,140,20,4,8956.0,37569.0,45.0,13483.47663871105,134340.0,41172.0,103.0,16792.5,17591.675502918988,96785.0,51368.0,222.0,16130.833333333334,19339.224901881553,0,0,0,0,1,0,0,0,0,0,0,0.7777777777777778,152.75,65535,15,37161.0,26999.0,33360.0,4526.349596160981,37337.0,9962.0,22274.6,9783.78733620064,0.0,0.0,0.0,0.0,0.0,0.0,143.77777777777777,164.28571428571428,0,9,7,1294,1150
172.20.62.132,120.72.45.210,47167,443,2048,2022-10-23 10:35:10,600554.0,11366.17190127782,28.30719635536521,13.321033578995394,14.986162776369818,8,9,1693,5133,667.0,68.0,211.625,227.39939396357238,1442.0,68.0,570.3333333333334,621.5932932571121,1442,68,401.52941176470586,510.82690951817455,260944.13148788927,160,180,20,3,37534.625,226371.0,57.0,63760.02808076056,600554.0,323944.0,664.0,85793.42857142857,108278.63780854222,539006.0,226371.0,496.0,67375.75,77513.7669445725,0,0,0,0,1,0,0,0,0,0,0,1.125,401.52941176470586,65535,245,142522.0,51424.0,84308.0,41278.873337338075,142097.0,49575.0,95859.0,36430.698961178336,0.0,0.0,4253.0,4.0,0.0,1121867.5811131627,211.625,570.3333333333334,0,8,9,1693,5133
172.20.62.132,203.119.205.153,44594,443,2048,2022-10-23 10:35:12,39778.0,3368.69626426668,50.27904872039821,25.139524360199104,25.139524360199104,1,1,76,58,76.0,76.0,76.0,0.0,58.0,58.0,58.0,0.0,76,58,67.0,9.0,81.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,67.0,65535,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,58.0,0,1,1,76,58
172.20.62.132,203.119.205.153,44596,443,2048,2022-10-23 10:35:12,37447.0,3578.3907923198117,53.40881779581809,26.704408897909044,26.704408897909044,1,1,76,58,76.0,76.0,76.0,0.0,58.0,58.0,58.0,0.0,76,58,67.0,9.0,81.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,67.0,65535,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,58.0,0,1,1,76,58
172.20.62.132,203.119.211.219,45243,443,2048,2022-10-23 10:35:12,190462.0,37293.52836786341,120.75899654524262,63.004693849691805,57.75430269555082,12,11,1640,5463,643.0,56.0,136.66666666666666,168.6249948521538,1336.0,58.0,496.6363636363636,481.70195853816506,1336,56,308.82608695652175,397.67166401813057,158142.75236294893,240,220,20,3,8657.363636363636,47441.0,41.0,15364.886771601417,190462.0,48510.0,99.0,17314.727272727272,18519.697636894172,149033.0,47622.0,180.0,14903.3,19787.46891873743,0,0,0,0,1,0,0,0,0,0,0,0.9166666666666666,308.82608695652175,65535,42084,47248.0,33371.0,39899.0,4924.727657444622,47260.0,6353.0,27690.333333333332,15308.459847054793,0.0,0.0,2284.5,4.5,0.0,318797.0974044097,136.66666666666666,496.6363636363636,0,12,11,1640,5463
