src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.20.230.119,111.13.141.136,41152,80,2048,2022-09-23 10:52:23,1836286.0,152.48169402805445,2.722887393358115,2.722887393358115,0.0,5,0,280,0,56.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,56,56,56.0,0.0,0.0,100,0,20,0,459071.5,917553.0,226122.0,281179.902561065,1836286.0,917553.0,226122.0,459071.5,281179.902561065,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,56.0,174,0,0.0,0.0,0.0,0.0,456475.0,5411.0,229388.25,159487.37685374194,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0,5,0,280,0
172.20.230.119,172.20.91.13,47017,8888,2048,2022-09-23 10:52:38,3121040.0,404.99320739240767,3.2040601850665165,2.2428421295465615,0.961218055519955,7,3,731,533,299.0,68.0,104.42857142857143,79.51973186009897,234.0,76.0,177.66666666666666,72.02931501980441,299,68,126.4,84.31630921713781,7109.24,140,60,20,1,346782.22222222225,2001637.0,150.0,660216.2729462686,3121040.0,2001637.0,485.0,520173.3333333333,750767.856432481,109073.0,108322.0,751.0,54536.5,53785.5,0,0,0,0,1,0,0,0,0,0,0,0.42857142857142855,126.4,65535,258,0.0,0.0,0.0,0.0,1008119.0,105545.0,702394.0,422078.06852998177,0.0,0.0,0.0,0.0,0.0,0.0,104.42857142857143,177.66666666666666,0,7,3,731,533
172.20.230.119,172.20.91.13,47015,8888,2048,2022-09-23 10:52:38,3448051.0,2388.595760329531,5.800378242665205,3.1902080334658622,2.610170209199342,11,9,2094,6142,585.0,68.0,190.36363636363637,173.48527457933645,1416.0,68.0,682.4444444444445,548.0083355227995,1416,68,411.8,460.02702094550926,211624.86000000002,220,180,20,4,181476.36842105264,2001447.0,50.0,482537.0110214302,3448051.0,2001447.0000000002,1040.0,344805.1,623230.906557666,441819.0,212976.0,231.0,55227.375,66928.63135635134,0,0,0,0,1,0,0,0,0,0,0,0.8181818181818182,411.8,65535,253,2000407.0,73954.0,589573.75,816231.5302637405,1008058.0,5021.0,337632.28571428574,423757.9294717729,0.0,0.0,4250.0,4.0,0.0,705394.1908713693,190.36363636363637,682.4444444444445,0,11,9,2094,6142
172.20.230.119,172.20.91.13,47013,8888,2048,2022-09-23 10:52:38,3458016.0,1453.7237537362464,5.494480071809963,3.181014778416294,2.3134652933936684,11,8,2381,2646,585.0,68.0,216.45454545454547,202.3508939874511,1154.0,68.0,330.75,353.70529752888916,1154,68,264.57894736842104,282.0758232871128,79566.7700831025,220,160,20,5,192112.0,3121642.0,77.0,711270.392951232,3457939.0,3121642.0,698.0,345793.9,926433.2355725856,3445268.0,3129071.0,141.0,492181.14285714284,1077412.6186069807,0,0,0,0,1,0,0,0,0,0,0,0.7272727272727273,264.57894736842104,65535,257,3120944.0,11702.0,677401.2,1222294.0147436538,3121187.0,5578.0,484754.5714285714,1076913.8198014675,0.0,0.0,0.0,0.0,0.0,0.0,216.45454545454547,330.75,0,11,8,2381,2646
172.20.230.119,39.156.113.182,40925,80,2048,2022-09-23 10:52:38,90618.0,10406.321039969984,110.35335143128296,55.17667571564148,55.17667571564148,5,5,463,480,219.0,56.0,92.6,63.672914178636425,238.0,58.0,96.0,71.10555533852471,238,56,94.3,67.51303577828507,4558.009999999999,100,100,20,1,10068.666666666666,35834.0,37.0,14249.04718062073,64909.0,36014.0,131.0,16227.25,16216.369096918706,62431.0,36204.0,52.0,15607.75,15912.826624691794,0,0,0,0,1,0,0,0,0,0,0,1.0,94.3,65535,237,35533.0,28056.0,31794.5,3738.5,35703.0,25408.0,29766.0,4348.692293858772,0.0,0.0,188.0,4.0,0.0,7168.185457734396,92.6,96.0,0,5,5,463,480
172.20.230.119,39.156.81.172,40986,5222,2048,2022-09-23 10:52:38,13466244.0,255.0080037165523,1.0396365905741793,0.5940780517566739,0.44555853881750546,8,6,2288,1146,425.0,56.0,286.0,138.4431291180606,457.0,58.0,191.0,188.09040379562165,457,56,245.28571428571428,168.29881103536758,28324.48979591836,160,120,20,6,1035864.9230769231,5028236.0,234.0,1868584.4889745764,13439695.0,5095159.0,5048.0,1919956.4285714286,2223933.728255656,13437385.0,5070829.0,16029.000000000002,2687477.0,2210857.447093955,0,0,0,0,1,0,0,0,0,0,0,0.75,245.28571428571428,65535,16821,4985643.0,15165.0,2610820.0,2192972.852496811,4961313.0,5048.0,1877962.7142857143,2189663.489981229,0.0,0.0,0.0,0.0,0.0,0.0,286.0,191.0,0,8,6,2288,1146
172.20.230.119,172.20.91.13,47021,8888,2048,2022-09-23 10:52:38,213731.0,28067.992008646383,65.50289850325876,37.43022771614787,28.0726707871109,8,6,2615,3384,1129.0,68.0,326.875,352.55440626235264,1257.0,76.0,564.0,484.24855876570933,1257,68,428.5,430.4581861226477,185294.25,160,120,20,4,16440.846153846152,71146.0,137.0,21268.40982752862,213731.0,87650.0,2037.0000000000002,30533.0,28347.416682502633,199988.0,74137.0,2404.0,39997.6,24207.59283034974,0,0,0,0,1,0,0,0,0,0,0,0.75,428.5,65535,258,61027.0,11569.0,39016.333333333336,20553.85526421314,68340.0,13606.0,38722.75,20440.568599906903,0.0,0.0,0.0,0.0,0.0,0.0,326.875,564.0,0,8,6,2615,3384
172.20.230.119,172.20.91.13,47023,8888,2048,2022-09-23 10:52:38,1047215.0,1809.561551352874,11.458964968989177,5.729482484494588,5.729482484494588,6,6,726,1169,378.0,68.0,121.0,114.97101083896467,614.0,68.0,194.83333333333334,201.8699388770458,614,68,157.91666666666666,168.36788011837518,28347.74305555556,120,120,20,1,95201.36363636363,811463.0,50.0,234644.91981919974,1041935.0,1027792.0,134.0,208387.0,409720.023056721,1036820.0,811463.0,113.0,207364.0,313365.075824349,0,0,0,0,1,0,0,0,0,0,0,1.0,157.91666666666666,65535,258,0.0,0.0,0.0,0.0,595307.0,10395.0,273515.3333333333,242366.46626177934,0.0,0.0,0.0,0.0,0.0,0.0,121.0,194.83333333333334,0,6,6,726,1169
127.0.0.1,127.0.0.1,39887,26991,2048,2022-09-23 10:52:38,2979.0,507888.55320577376,3356.8311513930853,2014.0986908358511,1342.732460557234,6,4,681,832,333.0,68.0,113.5,98.20683954457212,620.0,68.0,208.0,237.8907312191881,620,68,151.3,174.8336638064878,30566.810000000005,120,80,20,1,331.0,926.0,21.0,344.9251126452427,2979.0,965.0,116.0,595.8,316.5813639493013,2891.0,1058.0,854.0,963.6666666666666,83.98544847505165,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,151.3,65535,258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.5,208.0,0,6,4,681,832
127.0.0.1,127.0.0.1,39889,26991,2048,2022-09-23 10:52:38,2697.0,624026.6963292547,3707.823507601038,2224.6941045606227,1483.1294030404151,6,4,828,855,480.0,68.0,138.0,152.97494348204,643.0,68.0,213.75,247.84912245154308,643,68,168.3,199.97402331302933,39989.61,120,80,20,1,299.6666666666667,766.0,43.0,300.23028198738086,2697.0,766.0,107.0,539.4,266.5712662685159,2593.0,1104.0,592.0,864.3333333333334,210.29555920708887,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,168.3,65535,258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,213.75,0,6,4,828,855
