src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.20.83.254,172.20.187.198,40878,8888,6,2022-10-05 13:59:23,21265258.0,84.50403000048247,0.6113257596028226,0.3291754090169045,0.28215035058591814,7,6,604,1193,236.0,54.0,86.28571428571429,61.54606703394572,648.0,66.0,198.83333333333334,214.38626873524856,648,54,138.23076923076923,162.4827346312661,26400.639053254443,140,120,20,1,1772104.8333333333,18015890.0,68.0,4950716.061980813,21265258.0,18126326.0,144.0,3544209.6666666665,6610834.301013972,21136874.0,18015890.0,471.0,4227374.8,6971590.257131393,0,0,0,0,1,0,0,0,0,0,0,0.8571428571428571,138.23076923076923,65535,258,18015437.0,127868.00000000001,6898235.666666667,7923067.729808126,17905907.0,7658.0,4140563.6,6934287.136937628,0.0,0.0,0.0,0.0,0.0,0.0,86.28571428571429,198.83333333333334,0,7,6,604,1193
172.20.83.254,172.20.187.198,40880,8888,6,2022-10-05 13:59:23,30447608.0,42.466390134817814,0.42696293252330364,0.22990311751254813,0.19705981501075553,7,6,628,665,224.0,66.0,89.71428571428571,54.89135837715984,222.0,66.0,110.83333333333333,62.40303589480955,224,66,99.46153846153847,59.41848376572521,3530.5562130177505,140,120,20,1,2537300.6666666665,30005103.0,41.0,8282149.549763881,30447608.0,30005103.0,91.0,5074601.333333333,11149602.415503863,30396120.0,30137168.0,243.0,6079224.0,12029317.991018727,0,0,0,0,1,0,0,0,0,0,0,0.8571428571428571,99.46153846153847,65535,258,236976.0,47469.0,142222.5,94753.5,30005053.0,51185.0,10096516.0,14077657.866022624,0.0,0.0,0.0,0.0,0.0,0.0,89.71428571428571,110.83333333333333,0,7,6,628,665
172.20.83.254,172.20.187.198,40882,8888,6,2022-10-05 13:59:23,1154705.0,29157.23063466426,45.89916905183575,24.248617612290584,21.650551439545165,28,25,7595,26073,2762.0,66.0,271.25,551.8545114300637,1414.0,66.0,1042.92,539.5481012847696,2762,66,635.2452830188679,668.2810646319965,446599.5813456747,560,500,20,6,22205.865384615383,235685.0,15.0,50057.66082960608,1154705.0,235834.0,59.0,42766.851851851854,70067.87235547042,1096395.0,239238.0,60.0,45683.125,72733.02145937136,0,0,0,0,1,0,0,0,0,0,0,0.8928571428571429,635.2452830188679,65535,258,235665.0,8578.0,85555.8,69518.70528253529,232132.0,8564.0,77072.15384615384,64679.0370508288,0.0,0.0,22655.0,18.0,0.0,202725.6782876369,271.25,1042.92,0,28,25,7595,26073
172.20.83.254,172.20.187.198,40884,8888,6,2022-10-05 13:59:23,493365.0,9048.067860508954,28.37655691019833,16.21517537725619,12.161381532942142,8,6,2190,2274,679.0,66.0,273.75,236.62457078672114,1152.0,74.0,379.0,365.21454881571555,1152,66,318.85714285714283,303.10296627262704,91871.4081632653,160,120,20,4,37951.153846153844,152824.0,214.0,47147.58735950849,493365.0,183136.0,412.0,70480.71428571429,57156.33830047519,462473.0,174020.0,315.0,92494.6,55162.054430921984,0,0,0,0,1,0,0,0,0,0,0,0.75,318.85714285714283,65535,258,122512.0,29709.0,78331.75,35449.47552062653,131842.0,20768.0,66914.5,40886.79952727204,0.0,0.0,0.0,0.0,0.0,0.0,273.75,379.0,0,8,6,2190,2274
172.20.83.254,58.83.177.220,45876,5222,6,2022-10-05 13:59:23,13868010.0,625.3240371185195,2.740119166340376,1.370059583170188,1.370059583170188,19,19,4734,3938,423.0,54.0,249.1578947368421,152.17519790927088,541.0,56.0,207.26315789473685,200.545267787931,541,54,228.21052631578948,179.2390579343595,32126.639889196682,380,380,20,12,374811.08108108107,7598190.0,24.0,1308637.7509735257,13771084.0,7709507.0,64.0,765060.2222222222,1823022.417483107,13817768.0,7717358.0,24.0,767653.7777777778,1837347.9478246646,0,0,0,0,1,0,0,0,0,0,0,1.0,228.21052631578948,197,62,7479022.0,2696.0,1078539.8333333333,2087989.494150846,7486873.0,7469.0,1105818.9166666667,2083758.858302565,1142.0,4.0,968.6666666666666,5.333333333333333,74880.33571569077,5394.087664133586,249.1578947368421,207.26315789473685,0,19,19,4734,3938
172.20.83.254,172.20.187.198,40886,8888,6,2022-10-05 13:59:23,531588.0,15263.700459754547,35.7419655823683,20.692716916107965,15.049248666260338,11,8,2056,6058,583.0,66.0,186.9090909090909,174.46878050786287,1414.0,74.0,757.25,533.6294945933929,1414,66,427.05263157894734,465.6357819588645,216816.6814404432,220,160,20,4,29532.666666666668,151968.0,40.0,39923.65415389729,531588.0,152170.0,2870.0,53158.8,40752.97658772914,485598.0,194295.0,122.0,69371.14285714286,60973.10650589809,0,0,0,0,1,0,0,0,0,0,0,0.7272727272727273,427.05263157894734,65535,253,151766.0,35693.0,79182.4,41254.05779120401,109747.0,16925.0,53342.5,30607.239760390024,0.0,0.0,4250.0,4.0,0.0,76860.47563070802,186.9090909090909,757.25,0,11,8,2056,6058
172.20.83.254,172.20.187.198,40888,8888,6,2022-10-05 13:59:23,3814986.0,356.48885736408994,3.1454899179184403,1.8348691187857569,1.3106207991326835,7,5,701,659,297.0,66.0,100.14285714285714,80.41397989942611,232.0,66.0,131.8,77.45553563174164,297,66,113.33333333333333,80.71795889942267,6515.388888888887,140,100,20,1,346816.9090909091,3542637.0,38.0,1012008.788593841,3814986.0,3542637.0,88.0,635831.0,1301494.181452098,3773572.0,3582181.0,209.0,943393.0,1525491.8450868558,0,0,0,0,1,0,0,0,0,0,0,0.7142857142857143,113.33333333333333,65535,258,187923.0,38417.0,113170.0,74753.0,3542587.0,41262.0,1256325.6666666667,1617697.4417795877,0.0,0.0,0.0,0.0,0.0,0.0,100.14285714285714,131.8,0,7,5,701,659
172.20.83.254,172.20.187.198,40890,8888,6,2022-10-05 13:59:23,598282.0,7698.710641470077,23.40033629626163,13.371620740720932,10.028715555540698,8,6,2108,2498,583.0,66.0,263.5,217.36260027888883,1152.0,74.0,416.3333333333333,368.95332435899746,1152,66,329.0,301.7586547462818,91058.28571428571,160,120,20,4,46021.692307692305,191700.0,160.0,65695.25539873732,598282.0,201917.0,331.0,85468.85714285714,72649.45791839561,559437.0,194416.0,192.0,111887.4,67157.86653430854,0,0,0,0,1,0,0,0,0,0,0,0.75,329.0,65535,258,181483.0,37703.0,107665.5,58170.8363937635,189144.0,38034.0,113594.2,57089.89767866115,0.0,0.0,0.0,0.0,0.0,0.0,263.5,416.3333333333333,0,8,6,2108,2498
172.20.83.254,39.156.113.182,39291,80,6,2022-10-05 13:59:24,151320.0,6099.656357388316,66.08511763150938,33.04255881575469,33.04255881575469,5,5,453,470,217.0,54.0,90.6,63.672914178636425,236.0,56.0,94.0,71.10555533852471,236,54,92.3,67.51303577828507,4558.009999999999,100,100,20,1,16813.333333333332,61371.0,37.0,23992.376196524503,89949.0,50526.0,215.0,22487.25,22230.50114566696,113506.0,61549.0,132.0,28376.5,28445.512093298654,0,0,0,0,1,0,0,0,0,0,0,1.0,92.3,65535,237,50092.0,36621.0,43356.5,6735.5,61193.0,37814.0,49361.333333333336,9546.554154364925,0.0,0.0,188.0,4.0,0.0,3040.0051744768925,90.6,94.0,0,5,5,453,470
172.20.83.254,172.20.187.198,40894,8888,6,2022-10-05 13:59:24,1126600.0,1602.1658086277293,9.763891354518018,5.325758920646192,4.438132433871827,6,5,714,1091,376.0,66.0,119.0,114.97101083896467,612.0,66.0,218.2,212.22855604277197,612,66,164.0909090909091,173.55976416075583,30122.991735537187,120,100,20,1,112660.0,810074.0,61.0,245159.29057084498,1126600.0,1074929.0,224.0,225320.0,425054.0462209482,1083863.0,810074.0,306.0,270965.75,328966.93330209877,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333334,164.0909090909091,65535,258,809850.0,40171.0,425010.5,384839.5,545443.0,7938.0,214545.75,215054.86532205567,0.0,0.0,0.0,0.0,0.0,0.0,119.0,218.2,0,6,5,714,1091
172.20.83.254,172.20.187.198,40726,8888,6,2022-10-05 13:59:24,2381444.0,2459.85208974051,4.199132963025794,1.6796531852103176,2.5194797778154765,4,6,4626,1232,2263.0,66.0,1156.5,1090.5586870957472,343.0,66.0,205.33333333333334,113.18519730463383,2263,66,585.8,836.9863559222456,700546.1599999999,80,120,20,2,264604.8888888889,1914413.0,193.0,588075.8685074277,2381444.0,1914413.0,169458.0,793814.6666666666,794106.9750809536,2326027.0,2031116.0,193.0,465205.4,787995.1887265809,0,0,0,0,1,0,0,0,0,0,0,1.5,585.8,201,258,0.0,0.0,0.0,0.0,1913386.0,54316.0,718469.6666666666,846686.5112386966,0.0,0.0,0.0,0.0,0.0,0.0,1156.5,205.33333333333334,0,4,6,4626,1232
