src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.43.228,224.0.0.251,5353,5353,2048,2022-10-22 00:27:20,31999680.0,37.750377503775034,0.06250062500625006,0.06250062500625006,0.0,2,0,1208,0,604.0,604.0,604.0,0.0,0.0,0.0,0.0,0.0,604,604,604.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,604.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604.0,0.0,0,2,0,1208,0
192.168.43.228,120.241.21.115,37380,80,2048,2022-10-22 00:27:27,371990.0,18815.02190919111,40.32366461464018,18.81771015349875,21.505954461141428,7,8,4304,2695,2776.0,56.0,614.8571428571429,969.9878391831855,1416.0,56.0,336.875,498.0264645327595,2776,56,466.6,768.4992995008736,590591.1733333335,140,160,20,2,26570.714285714286,135957.0,53.0,43414.23962485214,303447.0,206578.0,84.0,50574.5,76979.23352166695,281664.0,135957.0,181.0,40237.71428571428,50212.896507099176,0,0,0,0,1,0,0,0,0,0,0,1.1428571428571428,466.6,65535,501,131218.0,69860.0,97106.66666666667,25515.27356092599,135776.0,63804.0,89965.75,28211.23900482749,0.0,0.0,0.0,0.0,0.0,0.0,614.8571428571429,336.875,0,7,8,4304,2695
192.168.43.228,192.168.43.171,44188,8888,2048,2022-10-22 00:27:28,225218.0,13706.719711568347,79.92256391585042,39.96128195792521,39.96128195792521,9,9,970,2117,255.0,56.0,107.77777777777777,73.60371031978963,1450.0,56.0,235.22222222222223,430.85774341623295,1450,56,171.5,315.5764126518682,99588.47222222222,180,180,20,3,13248.117647058823,63256.0,100.0,22084.870730041184,225218.0,122523.0,329.0,28152.25,40109.23233418336,219810.0,63256.00000000001,201.0,27476.25,26912.82186407624,0,0,0,0,1,0,0,0,0,0,0,1.0,171.5,65535,259,58848.0,4895.0,40146.333333333336,24941.93459929593,58601.0,5224.0,27775.4,24518.273598277672,0.0,0.0,0.0,0.0,0.0,0.0,107.77777777777777,235.22222222222223,0,9,9,970,2117
192.168.43.228,192.168.43.171,44190,8888,2048,2022-10-22 00:27:28,33217024.000000004,278.08030002928615,0.8730463030041462,0.4214706290364844,0.45157567396766185,14,15,2003,7234,573.0,56.0,143.07142857142858,151.2091570761291,1450.0,56.0,482.26666666666665,594.5426776570001,1450,56,318.51724137931035,471.80720936223844,222602.0428061831,280,300,20,5,1186322.2857142857,32901182.0,18.0,6103560.1795757925,33216949.0,32901182.0,196.0,2555149.923076923,8760209.261944747,33212230.999999996,32943607.999999996,40.0,2372302.214285714,8478991.54479535,0,0,0,0,1,0,0,0,0,0,0,1.0714285714285714,318.51724137931035,65535,256,32900795.000000004,196.0,5513376.666666667,12248047.203299863,32864569.0,5039.0,4135661.75,10858524.412774518,0.0,0.0,4781.0,5.0,0.0,6161082.474226804,143.07142857142858,482.26666666666665,0,14,15,2003,7234
192.168.43.228,192.168.43.1,16275,53,2048,2022-10-22 00:27:28,14807.0,25663.53751603971,135.07125008441952,67.53562504220976,67.53562504220976,1,1,77,303,77.0,77.0,77.0,0.0,303.0,303.0,303.0,0.0,303,77,190.0,113.0,12769.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,190.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,303.0,0,1,1,77,303
192.168.43.228,111.42.9.74,41290,443,2048,2022-10-22 00:27:28,202741.0,44386.68054315604,113.44523308062996,54.256415821170854,59.188817259459114,11,12,1672,7327,457.0,56.0,152.0,154.16579033329964,1416.0,56.0,610.5833333333334,590.8641212006548,1416,56,391.2608695652174,495.9757372564408,245991.93194707,220,240,20,3,9215.5,29809.0,80.0,12016.66087620169,202741.0,40558.0,417.0,20274.1,13912.174211459544,176027.0,53262.0,153.0,16002.454545454546,20601.146929076265,0,0,0,0,1,0,0,0,0,0,0,1.0909090909090908,391.2608695652174,65535,501,28524.0,24442.0,26360.25,1922.8297344018788,26582.0,11672.0,19321.428571428572,5851.03397106975,0.0,0.0,0.0,0.0,0.0,0.0,152.0,610.5833333333334,0,11,12,1672,7327
192.168.43.228,192.168.43.171,44109,8888,2048,2022-10-22 00:27:28,3621.0,61861.364264015465,1104.6672190002762,552.3336095001381,552.3336095001381,2,2,112,112,56.0,56.0,56.0,0.0,56.0,56.0,56.0,0.0,56,56,56.0,0.0,0.0,40,40,20,0,1207.0,3338.0,116.0,1506.9883874801424,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,56.0,2030,260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,56.0,0,2,2,112,112
192.168.43.228,192.168.43.171,43836,8888,2048,2022-10-22 00:27:36,25445.0,12222.440558066419,196.50225977598743,117.90135586559246,78.60090391039498,3,2,199,112,87.0,56.0,66.33333333333333,14.613540144521982,56.0,56.0,56.0,0.0,87,56,62.2,12.4,153.76000000000002,60,40,20,1,6361.25,23929.0,132.0,10150.786530486197,25445.0,24282.0,1163.0,12722.5,11559.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,62.2,182,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.33333333333333,56.0,0,3,2,199,112
192.168.43.228,120.241.21.115,37388,80,2048,2022-10-22 00:27:44,422718.0,96203.6156492035,111.185234600845,52.04415236635298,59.141082234492025,22,25,25002,15665,2776.0,56.0,1136.4545454545455,1303.3285962304617,1416.0,56.0,626.6,656.7478663840485,2776,56,865.2553191489362,1043.679772117399,1089267.4667270256,440,500,20,9,9189.521739130434,91494.0,14.0,25513.4556040185,351101.0,160225.0,26.0,16719.095238095237,41581.52025428599,333283.0,93578.0,25.0,13886.791666666666,30488.43197424662,0,0,0,0,1,0,0,0,0,0,0,1.1363636363636365,865.2553191489362,65535,501,91456.0,72060.0,83174.25,7787.190583740711,91468.0,67161.0,80862.8,9610.574580117465,23726.0,9.0,14253.0,11.0,256525.0297329441,6054800.339847069,1136.4545454545455,626.6,0,22,25,25002,15665
192.168.43.228,192.168.43.171,44196,8888,2048,2022-10-22 00:27:45,19684073.0,297.9058246735825,1.3208648433685446,0.6604324216842723,0.6604324216842723,13,13,2693,3171,696.0,56.0,207.15384615384616,217.6980428709052,1450.0,56.0,243.92307692307693,366.22701272854107,1450,56,225.53846153846155,301.82002160855234,91095.325443787,260,260,20,6,787362.92,19284953.0,62.0,3775890.7613649834,19679859.0,19284953.0,180.0,1639988.25,5320332.578432654,19659911.0,19334326.0,62.0,1638325.9166666667,5335631.6512358915,0,0,0,0,1,0,0,0,0,0,0,1.0,225.53846153846155,65535,0,95538.0,22290.0,50113.6,26698.87422795201,19284517.0,23581.0,2790788.714285714,6733550.462118538,0.0,0.0,0.0,0.0,0.0,0.0,207.15384615384616,243.92307692307693,0,13,13,2693,3171
