src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.31.211,192.168.31.255,137,137,2048,2022-09-24 10:05:34,10546866.0,89.12600198011428,0.9481489572352584,0.9481489572352584,0.0,10,0,940,0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,94,94,94.0,0.0,0.0,80,0,8,10,1171874.0,8196511.0,47.0,2506077.3773204032,10546866.0,8196510.999999999,47.0,1171874.0,2506077.377320403,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,94.0,0,0,8094398.0,239.0,2406995.25,3298668.4138604607,8196281.0,617136.0,2585354.0,3240218.9378126133,250.0,5.0,0.0,0.0,212.73382106107374,0.0,94.0,0.0,0,10,0,940,0
192.168.31.211,224.0.0.251,5353,5353,2048,2022-09-24 10:05:34,10035678.0,107.61604746585132,1.4946673259146017,1.4946673259146017,0.0,15,0,1080,0,72.0,72.0,72.0,0.0,0.0,0.0,0.0,0.0,72,72,72.0,0.0,0.0,120,0,8,15,716834.1428571428,8008884.0,92.0,2049373.6880079748,10035678.0,8008884.0,92.0,716834.1428571428,2049373.6880079745,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,72.0,0,0,8008364.0,235.0,2275986.5,3332110.354573997,8007109.0,101092.0,2506186.5,3195289.073275257,210.0,7.5,0.0,0.0,207.22382245062892,0.0,72.0,0.0,0,15,0,1080,0
192.168.31.32,192.168.31.255,137,137,2048,2022-09-24 10:05:34,10546437.0,89.12962738031811,0.9481875253225331,0.9481875253225331,0.0,10,0,940,0,94.0,94.0,94.0,0.0,0.0,0.0,0.0,0.0,94,94,94.0,0.0,0.0,80,0,8,10,1171826.3333333333,8196746.0,44.0,2506173.8508753404,10546437.0,8196745.999999999,44.0,1171826.3333333333,2506173.8508753404,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,94.0,0,0,8094783.0,110.0,2406944.25,3298917.6074238634,8196702.0,616930.0,2585392.75,3240441.6292829113,250.0,5.0,0.0,0.0,212.79393758583575,0.0,94.0,0.0,0,10,0,940,0
192.168.31.32,224.0.0.251,5353,5353,2048,2022-09-24 10:05:34,10035158.0,78.92252418945472,1.0961461692979821,1.0961461692979821,0.0,11,0,792,0,72.0,72.0,72.0,0.0,0.0,0.0,0.0,0.0,72,72,72.0,0.0,0.0,88,0,8,11,1003515.8,8008247.0,184.0,2364649.2163704876,10035158.0,8008247.000000001,184.0,1003515.8,2364649.2163704876,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,72.0,0,0,8008063.0,101381.0,3034861.6666666665,3535463.2285648547,8006155.0,101471.0,2506534.5,3194572.8236039244,154.0,5.5,0.0,0.0,151.9553645917359,0.0,72.0,0.0,0,11,0,792,0
192.168.31.63,192.168.31.32,49164,8888,2048,2022-09-24 10:05:35,221410.0,7682.579829276004,27.099047016846576,13.549523508423288,13.549523508423288,3,3,573,1128,437.0,68.0,191.0,173.9482681718907,532.0,68.0,376.0,217.79501065604478,532,68,283.5,217.72134331142948,47402.583333333336,60,60,20,1,44282.0,140269.0,52.0,57277.64585944502,221410.0,221299.0,111.0,110705.0,110594.0,140533.0,140269.0,264.0,70266.5,70002.5,0,0,0,0,1,0,0,0,0,0,0,1.0,283.5,192,4097,0.0,0.0,0.0,0.0,80825.0,59444.0,70134.5,10690.5,0.0,0.0,0.0,0.0,0.0,0.0,191.0,376.0,0,3,3,573,1128
192.168.31.63,192.168.31.32,49162,8888,2048,2022-09-24 10:05:35,224435.0,19733.99870786642,57.92322944282309,22.278165170316573,35.64506427250652,5,8,653,3776,381.0,68.0,130.6,125.19999999999999,592.0,68.0,472.0,194.24726510301247,592,68,340.6923076923077,238.40153091125148,56835.28994082839,100,160,20,1,18702.916666666668,112258.0,22.0,36323.91713792794,224435.0,192847.0,122.0,56108.75,79966.6737065354,112825.0,112258.0,31.0,16117.857142857143,39249.08474066104,0,0,0,0,1,0,0,0,0,0,0,1.6,340.6923076923077,182,4096,0.0,0.0,0.0,0.0,80304.0,31284.0,47847.333333333336,22951.959006198627,0.0,0.0,3232.0,7.0,0.0,5700176.366843034,130.6,472.0,0,5,8,653,3776
192.168.31.63,120.201.101.121,47525,443,2048,2022-09-24 10:05:49,38000.0,11947.368421052632,78.94736842105263,52.631578947368425,26.315789473684212,2,1,398,56,306.0,92.0,199.0,107.0,56.0,56.0,56.0,0.0,306,56,151.33333333333334,110.34894149419327,12176.888888888889,40,20,20,2,19000.0,36529.0,1471.0,17529.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,151.33333333333334,391,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,56.0,0,2,1,398,56
192.168.31.63,192.168.31.1,25442,53,2048,2022-09-24 10:05:49,13568.0,40757.66509433962,147.4056603773585,73.70283018867924,73.70283018867924,1,1,87,466,87.0,87.0,87.0,0.0,466.0,466.0,466.0,0.0,466,87,276.5,189.5,35910.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,276.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,466.0,0,1,1,87,466
192.168.31.63,111.40.180.45,43695,443,2048,2022-09-24 10:05:49,75092.0,862049.219623928,1065.3598252809886,399.5099344803707,665.8498908006178,30,50,2615,62118,633.0,56.0,87.16666666666667,111.48425399530147,1496.0,56.0,1242.36,485.95793068947853,1496,56,809.1625,681.9270570183809,465024.51109375,600,1000,20,3,950.5316455696203,39869.0,12.0,4674.3609130234145,75092.0,39881.0,69.0,2589.3793103448274,7458.853556235371,30831.0,15180.0,22.0,629.204081632653,2281.6772561446614,0,0,0,0,1,0,0,0,0,0,0,1.6666666666666667,809.1625,65535,1862,12497.0,55.0,6276.0,6221.0,39857.0,12454.0,26155.5,13701.5,0.0,0.0,29653.0,23.0,0.0,6448407.089268239,87.16666666666667,1242.36,0,30,50,2615,62118
39.156.150.66,192.168.31.63,443,49572,2048,2022-09-24 10:05:53,422.0,765402.8436018957,11848.341232227487,7109.004739336493,4739.336492890995,3,2,199,124,87.0,56.0,66.33333333333333,14.613540144521982,68.0,56.0,62.0,6.0,87,56,64.6,12.126005112979296,147.04000000000002,60,40,20,1,105.5,214.0,52.0,64.41467224165625,370.0,307.0,63.0,185.0,122.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,64.6,282,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.33333333333333,62.0,0,3,2,199,124
