src_label,tgt_label,num,val_prob
ATTACK,WWW,351,0.9694150686264038
MAIL,WWW,86,0.7326791882514954
MAIL,ATTACK,33,0.7239596247673035
WWW,FTP-PASV,201,0.8274515867233276
SERVICES,WWW,4,0.45038172602653503
WWW,MAIL,59,0.7175725698471069
MAIL,FTP-CONTROL,29,0.6748912334442139
FTP-CONTROL,WWW,6,0.8820560574531555
WWW,FTP-CONTROL,9,0.7564849853515625
ATTACK,DATABASE,1,0.48063647747039795
MAIL,FTP-DATA,14,0.8507089018821716
FTP-CONTROL,MAIL,28,0.7855227589607239
WWW,SERVICES,15,0.771575391292572
FTP-DATA,FTP-PASV,5,0.7729038000106812
ATTACK,FTP-DATA,4,0.5727125406265259
DATABASE,FTP-PASV,7,0.7032026648521423
WWW,ATTACK,5,0.6979248523712158
SERVICES,MAIL,5,0.7446238994598389
ATTACK,MAIL,5,0.6018387675285339
FTP-PASV,WWW,6,0.6085131764411926
DATABASE,WWW,3,0.8062849640846252
WWW,FTP-DATA,4,0.8316348195075989
MAIL,SERVICES,2,0.7097204923629761
FTP-PASV,FTP-DATA,4,0.6515746116638184
SERVICES,FTP-PASV,1,0.6869569420814514
MAIL,FTP-PASV,1,0.6166083812713623
SERVICES,FTP-DATA,1,0.7930750846862793
