Epoch 1, Loss: 6.166819095611572, Test Loss: 5.951003074645996
Epoch 2, Loss: 5.893565654754639, Test Loss: 5.8498759269714355
Epoch 3, Loss: 5.824779033660889, Test Loss: 5.804948806762695
Epoch 4, Loss: 5.805421352386475, Test Loss: 5.796992301940918
Epoch 5, Loss: 5.80621862411499, Test Loss: 5.793234348297119
Epoch 6, Loss: 5.786971092224121, Test Loss: 5.780766010284424
Epoch 7, Loss: 5.778923511505127, Test Loss: 5.779569149017334
Epoch 8, Loss: 5.777933597564697, Test Loss: 5.776461124420166
Epoch 9, Loss: 5.774218559265137, Test Loss: 5.774735450744629
Epoch 10, Loss: 5.770168304443359, Test Loss: 5.7678656578063965
Epoch 11, Loss: 5.767058849334717, Test Loss: 5.775207042694092
Epoch 12, Loss: 5.766800880432129, Test Loss: 5.771562099456787
Epoch 13, Loss: 5.765397548675537, Test Loss: 5.758967399597168
Epoch 14, Loss: 5.762066841125488, Test Loss: 5.759703636169434
Epoch 15, Loss: 5.764157772064209, Test Loss: 5.765927314758301
Epoch 16, Loss: 5.760524272918701, Test Loss: 5.75388765335083
Epoch 17, Loss: 5.759573936462402, Test Loss: 5.754080295562744
Epoch 18, Loss: 5.759463787078857, Test Loss: 5.780649662017822
Epoch 19, Loss: 5.756611347198486, Test Loss: 5.754399299621582
Epoch 20, Loss: 5.755398273468018, Test Loss: 5.758366584777832

