,oodset,MULTIMEDIA,,P2P,,INTERACTIVE,,GAMES,,Average,,
num,method,auroc,fpr,auroc,fpr,auroc,fpr,auroc,fpr,auroc,fpr
0,MSP,51.22%,96.67%,50.28%,98.55%,50.53%,98.04%,49.56%,100.00%,50.40%,98.32%,
1,MaxLogit,44.64%,99.52%,65.10%,94.25%,64.48%,94.12%,72.01%,87.50%,61.56%,93.85%,
2,Energy,44.64%,99.52%,65.10%,94.25%,64.48%,94.12%,72.01%,87.50%,61.56%,93.85%,
3,Energy+React,46.49%,99.76%,65.19%,92.68%,63.69%,95.10%,73.80%,87.50%,62.29%,93.76%,
4,Residual-DIM:0,49.08%,99.29%,55.03%,99.64%,30.94%,100.00%,44.24%,100.00%,44.82%,99.73%,
5,Residual-DIM:20,98.68%,7.36%,68.35%,84.08%,93.47%,48.04%,71.50%,100.00%,83.00%,59.87%,
6,Residual-DIM:40,98.69%,6.18%,74.30%,69.73%,92.03%,45.10%,83.15%,62.50%,87.04%,45.88%,
7,Residual-DIM:60,96.41%,30.17%,78.04%,71.67%,90.46%,53.92%,83.62%,75.00%,87.13%,57.69%,
8,Residual-DIM:80,95.59%,32.07%,80.73%,64.77%,92.34%,40.20%,83.92%,75.00%,88.15%,53.01%,
9,Residual-DIM:100,95.17%,34.44%,82.29%,63.14%,90.90%,50.00%,86.65%,62.50%,88.75%,52.52%,
10,Residual-DIM:120,95.74%,32.54%,83.33%,62.53%,90.66%,48.04%,83.85%,100.00%,88.40%,60.78%,
11,Residual-DIM:140,95.00%,36.82%,82.48%,65.25%,90.11%,50.00%,83.87%,87.50%,87.86%,59.89%,
12,Residual-DIM:160,94.45%,38.24%,81.56%,65.98%,88.95%,59.80%,82.79%,87.50%,86.94%,62.88%,
13,Residual-DIM:180,94.34%,38.24%,81.20%,66.28%,88.73%,60.78%,82.97%,87.50%,86.81%,63.20%,
14,Residual-DIM:200,94.27%,38.48%,81.12%,66.28%,88.67%,60.78%,83.00%,87.50%,86.77%,63.26%,
15,Residual-DIM:220,94.21%,38.95%,80.81%,66.53%,88.39%,61.76%,83.12%,87.50%,86.63%,63.69%,
16,Virtual Logit-DIM:0,44.62%,99.52%,65.13%,93.95%,64.45%,94.12%,72.06%,87.50%,61.57%,93.77%,
17,Virtual Logit-DIM:20,97.00%,7.84%,76.44%,78.27%,91.69%,37.25%,80.20%,75.00%,86.33%,49.59%,
18,Virtual Logit-DIM:40,97.57%,7.60%,76.86%,68.10%,91.39%,37.25%,81.72%,50.00%,86.88%,40.74%,
19,Virtual Logit-DIM:60,94.33%,32.07%,79.72%,71.85%,88.16%,50.98%,81.38%,75.00%,85.90%,57.47%,
20,Virtual Logit-DIM:80,93.37%,34.68%,83.92%,63.20%,90.41%,35.29%,84.23%,75.00%,87.98%,52.04%,
21,Virtual Logit-DIM:100,92.67%,38.00%,84.59%,62.89%,88.41%,48.04%,85.60%,62.50%,87.82%,52.86%,
22,Virtual Logit-DIM:120,93.48%,36.58%,84.99%,62.23%,88.11%,49.02%,83.75%,87.50%,87.58%,58.83%,
23,Virtual Logit-DIM:140,92.21%,39.67%,83.74%,64.71%,87.48%,50.98%,83.44%,87.50%,86.72%,60.71%,
24,Virtual Logit-DIM:160,91.41%,40.14%,82.77%,65.31%,86.52%,59.80%,82.76%,87.50%,85.86%,63.19%,
25,Virtual Logit-DIM:180,91.26%,40.14%,82.39%,65.44%,86.40%,59.80%,82.81%,87.50%,85.72%,63.22%,
26,Virtual Logit-DIM:200,91.13%,40.14%,82.29%,65.56%,86.37%,59.80%,82.79%,87.50%,85.65%,63.25%,
27,Virtual Logit-DIM:220,90.89%,40.14%,82.00%,65.50%,86.11%,60.78%,82.81%,87.50%,85.45%,63.48%,
28,Virtual Logit-DIM:240,91.79%,41.09%,81.28%,64.77%,82.03%,64.71%,76.54%,100.00%,82.91%,67.64%,
29,Mahalanobis,88.48%,24.23%,70.65%,61.38%,71.96%,51.96%,42.81%,100.00%,68.47%,59.39%,
