,oodset,MULTIMEDIA,,SERVICES,,INTERACTIVE,,GAMES,,Average,,
num,method,auroc,fpr,auroc,fpr,auroc,fpr,auroc,fpr,auroc,fpr
0,MSP,71.48%,90.26%,62.53%,98.13%,54.60%,92.16%,41.25%,100.00%,57.47%,95.14%,
1,MaxLogit,87.82%,70.55%,92.61%,71.94%,28.53%,94.12%,39.25%,75.00%,62.05%,77.90%,
2,Energy,84.49%,69.83%,93.28%,83.95%,24.47%,98.04%,41.44%,75.00%,60.92%,81.71%,
3,Energy+React,79.32%,69.60%,93.06%,71.94%,31.41%,94.12%,57.57%,75.00%,65.34%,77.66%,
4,Residual-DIM:0,41.74%,94.54%,41.53%,99.86%,40.60%,92.16%,38.94%,100.00%,40.70%,96.64%,
5,Residual-DIM:20,98.70%,7.36%,78.21%,99.33%,93.50%,46.08%,71.20%,100.00%,85.40%,63.19%,
6,Residual-DIM:40,98.11%,8.31%,49.08%,98.32%,91.54%,47.06%,82.34%,62.50%,80.27%,54.05%,
7,Residual-DIM:60,94.34%,41.57%,82.96%,99.04%,89.54%,55.88%,80.80%,75.00%,86.91%,67.87%,
8,Residual-DIM:80,95.88%,34.44%,88.18%,98.22%,91.27%,50.00%,84.67%,75.00%,90.00%,64.42%,
9,Residual-DIM:100,93.20%,42.99%,87.04%,98.13%,89.21%,62.75%,84.99%,75.00%,88.61%,69.72%,
10,Residual-DIM:120,92.58%,44.18%,83.00%,98.37%,88.03%,63.73%,85.12%,75.00%,87.18%,70.32%,
11,Residual-DIM:140,92.15%,45.37%,80.49%,98.46%,86.50%,63.73%,83.21%,75.00%,85.58%,70.64%,
12,Residual-DIM:160,90.46%,47.98%,78.69%,98.56%,86.15%,61.76%,82.92%,75.00%,84.55%,70.83%,
13,Residual-DIM:180,90.28%,48.22%,78.47%,98.61%,85.89%,61.76%,82.58%,75.00%,84.31%,70.90%,
14,Residual-DIM:200,89.99%,48.69%,76.09%,98.70%,85.31%,62.75%,82.27%,75.00%,83.41%,71.29%,
15,Residual-DIM:220,88.06%,60.10%,73.25%,98.85%,84.03%,65.69%,80.58%,75.00%,81.48%,74.91%,
16,Virtual Logit-DIM:0,84.28%,69.83%,93.26%,83.76%,24.59%,98.04%,41.58%,75.00%,60.93%,81.66%,
17,Virtual Logit-DIM:20,98.63%,7.36%,85.59%,99.28%,91.32%,50.00%,78.94%,100.00%,88.62%,64.16%,
18,Virtual Logit-DIM:40,98.23%,8.31%,65.55%,98.32%,90.38%,54.90%,85.53%,62.50%,84.92%,56.01%,
19,Virtual Logit-DIM:60,95.20%,40.86%,87.81%,98.08%,87.56%,56.86%,81.89%,75.00%,88.11%,67.70%,
20,Virtual Logit-DIM:80,96.25%,14.73%,90.32%,97.89%,89.57%,54.90%,84.39%,75.00%,90.13%,60.63%,
21,Virtual Logit-DIM:100,94.09%,41.57%,89.99%,97.98%,86.76%,63.73%,84.58%,75.00%,88.85%,69.57%,
22,Virtual Logit-DIM:120,93.63%,42.52%,87.20%,98.08%,85.45%,63.73%,85.00%,75.00%,87.82%,69.83%,
23,Virtual Logit-DIM:140,93.29%,43.71%,85.58%,98.41%,83.33%,64.71%,84.19%,75.00%,86.60%,70.46%,
24,Virtual Logit-DIM:160,92.16%,46.32%,84.54%,98.41%,82.95%,65.69%,84.20%,75.00%,85.96%,71.35%,
25,Virtual Logit-DIM:180,92.04%,46.56%,84.39%,98.46%,82.63%,64.71%,84.06%,75.00%,85.78%,71.18%,
26,Virtual Logit-DIM:200,91.85%,47.27%,83.25%,98.46%,81.96%,65.69%,83.96%,75.00%,85.25%,71.60%,
27,Virtual Logit-DIM:220,90.42%,51.54%,80.83%,98.41%,80.38%,67.65%,83.16%,75.00%,83.70%,73.15%,
28,Virtual Logit-DIM:240,90.38%,53.68%,80.24%,99.52%,77.91%,73.53%,83.54%,87.50%,83.02%,78.56%,
29,Mahalanobis,76.06%,46.08%,36.49%,98.51%,62.78%,66.67%,34.18%,100.00%,52.38%,77.81%,
