num,method,oodset,auroc,fpr95
1,MSP,MULTIMEDIA_P2P_INTERACTIVE_GAMES_,67.13%,89.78%
2,MaxLogit,MULTIMEDIA_P2P_INTERACTIVE_GAMES_,75.29%,71.19%
3,Energy,MULTIMEDIA_P2P_INTERACTIVE_GAMES_,75.64%,73.06%
4,Energy+React,MULTIMEDIA_P2P_INTERACTIVE_GAMES_,74.60%,77.83%
5,Residual-DIM:0,MULTIMEDIA_P2P_INTERACTIVE_GAMES_,62.28%,91.62%
6,Residual-DIM:40,MULTIMEDIA_P2P_INTERACTIVE_GAMES_,81.06%,62.12%
7,Residual-DIM:80,MULTIMEDIA_P2P_INTERACTIVE_GAMES_,84.73%,54.01%
8,Residual-DIM:120,MULTIMEDIA_P2P_INTERACTIVE_GAMES_,85.40%,54.37%
9,Residual-DIM:160,MULTIMEDIA_P2P_INTERACTIVE_GAMES_,83.56%,61.15%
10,Virtual Logit-DIM:0,MULTIMEDIA_P2P_INTERACTIVE_GAMES_,75.65%,73.25%
11,Virtual Logit-DIM:40,MULTIMEDIA_P2P_INTERACTIVE_GAMES_,83.07%,58.63%
12,Virtual Logit-DIM:80,MULTIMEDIA_P2P_INTERACTIVE_GAMES_,86.02%,53.50%
13,Virtual Logit-DIM:120,MULTIMEDIA_P2P_INTERACTIVE_GAMES_,86.69%,52.04%
14,Virtual Logit-DIM:160,MULTIMEDIA_P2P_INTERACTIVE_GAMES_,85.60%,57.72%
